id,text_dialect_raw,text_dialect_norm,uncertainty_score,novelty_score,priority_score,is_round_zero
pool_30,सैंपल पूल वाक्य 30 dialect text variant,सैंपल पूल वाक्य 30 dialect text variant,0.7882,0.0,0.7882,True
pool_31,सैंपल पूल वाक्य 31 dialect text variant,सैंपल पूल वाक्य 31 dialect text variant,0.7882,0.0,0.7882,True
pool_32,सैंपल पूल वाक्य 32 dialect text variant,सैंपल पूल वाक्य 32 dialect text variant,0.7882,0.0,0.7882,True
pool_34,सैंपल पूल वाक्य 34 dialect text variant,सैंपल पूल वाक्य 34 dialect text variant,0.7882,0.0,0.7882,True
pool_35,सैंपल पूल वाक्य 35 dialect text variant,सैंपल पूल वाक्य 35 dialect text variant,0.7882,0.0,0.7882,True
pool_36,सैंपल पूल वाक्य 36 dialect text variant,सैंपल पूल वाक्य 36 dialect text variant,0.7882,0.0,0.7882,True
pool_37,सैंपल पूल वाक्य 37 dialect text variant,सैंपल पूल वाक्य 37 dialect text variant,0.7882,0.0,0.7882,True
pool_38,सैंपल पूल वाक्य 38 dialect text variant,सैंपल पूल वाक्य 38 dialect text variant,0.7882,0.0,0.7882,True
pool_39,सैंपल पूल वाक्य 39 dialect text variant,सैंपल पूल वाक्य 39 dialect text variant,0.7882,0.0,0.7882,True
pool_40,सैंपल पूल वाक्य 40 dialect text variant,सैंपल पूल वाक्य 40 dialect text variant,0.7882,0.0,0.7882,True
pool_41,सैंपल पूल वाक्य 41 dialect text variant,सैंपल पूल वाक्य 41 dialect text variant,0.7882,0.0,0.7882,True
pool_42,सैंपल पूल वाक्य 42 dialect text variant,सैंपल पूल वाक्य 42 dialect text variant,0.7882,0.0,0.7882,True
pool_43,सैंपल पूल वाक्य 43 dialect text variant,सैंपल पूल वाक्य 43 dialect text variant,0.7882,0.0,0.7882,True
pool_45,सैंपल पूल वाक्य 45 dialect text variant,सैंपल पूल वाक्य 45 dialect text variant,0.7882,0.0,0.7882,True
pool_46,सैंपल पूल वाक्य 46 dialect text variant,सैंपल पूल वाक्य 46 dialect text variant,0.7882,0.0,0.7882,True
pool_47,सैंपल पूल वाक्य 47 dialect text variant,सैंपल पूल वाक्य 47 dialect text variant,0.7882,0.0,0.7882,True
pool_48,सैंपल पूल वाक्य 48 dialect text variant,सैंपल पूल वाक्य 48 dialect text variant,0.7882,0.0,0.7882,True
pool_49,सैंपल पूल वाक्य 49 dialect text variant,सैंपल पूल वाक्य 49 dialect text variant,0.7882,0.0,0.7882,True
pool_50,सैंपल पूल वाक्य 50 dialect text variant,सैंपल पूल वाक्य 50 dialect text variant,0.7882,0.0,0.7882,True
pool_1,सैंपल पूल वाक्य 1 dialect text variant,सैंपल पूल वाक्य 1 dialect text variant,0.7713,0.0,0.7713,True
pool_2,सैंपल पूल वाक्य 2 dialect text variant,सैंपल पूल वाक्य 2 dialect text variant,0.7713,0.0,0.7713,True
pool_3,सैंपल पूल वाक्य 3 dialect text variant,सैंपल पूल वाक्य 3 dialect text variant,0.7713,0.0,0.7713,True
pool_4,सैंपल पूल वाक्य 4 dialect text variant,सैंपल पूल वाक्य 4 dialect text variant,0.7713,0.0,0.7713,True
pool_5,सैंपल पूल वाक्य 5 dialect text variant,सैंपल पूल वाक्य 5 dialect text variant,0.7713,0.0,0.7713,True
pool_6,सैंपल पूल वाक्य 6 dialect text variant,सैंपल पूल वाक्य 6 dialect text variant,0.7713,0.0,0.7713,True
pool_7,सैंपल पूल वाक्य 7 dialect text variant,सैंपल पूल वाक्य 7 dialect text variant,0.7713,0.0,0.7713,True
pool_8,सैंपल पूल वाक्य 8 dialect text variant,सैंपल पूल वाक्य 8 dialect text variant,0.7713,0.0,0.7713,True
pool_9,सैंपल पूल वाक्य 9 dialect text variant,सैंपल पूल वाक्य 9 dialect text variant,0.7713,0.0,0.7713,True
pool_11,सैंपल पूल वाक्य 11 dialect text variant,सैंपल पूल वाक्य 11 dialect text variant,0.7567,0.0,0.7567,True
pool_22,सैंपल पूल वाक्य 22 dialect text variant,सैंपल पूल वाक्य 22 dialect text variant,0.7567,0.0,0.7567,True
pool_33,सैंपल पूल वाक्य 33 dialect text variant,सैंपल पूल वाक्य 33 dialect text variant,0.7567,0.0,0.7567,True
pool_44,सैंपल पूल वाक्य 44 dialect text variant,सैंपल पूल वाक्य 44 dialect text variant,0.7567,0.0,0.7567,True
